COLORS
Aegean
Alabaster
Amber
Amethyst
Antique rose
Ashen
Aubergine
Auburn
Beige
Berry
Bisque
Black
Blue
Blue-Green
Blue-Purple
Blue-Red
Blue-violet
Blue-Yellow
Boysenberry
Brick
Brown
Bubblegum pink
Chamois
Chartreuse
Chestnut
Chromatic
Claret
Cream
Creamsicle
Cyan
Dark blue
Dark brown
Dark gray
Dark green
Dark orange
Dark pink
Dark purple
Dark red
Dark yellow
Deep purple
Electric blue
Evergreen
Flaxen
Ginger
Gold
Gray-green
Grayish-blue
Green
Green-Blue
Green-Yellow
Grey
Hazelnut
Hot pink
Hue
Jade
Jadeite
Jet black
Light blue
Light gray
Light green
Light orange
Light pink
Light purple
Light yellow
Magenta
Mahogany
Mauve
Moccasin
Monochromatic
Mulberry
Muted
Neon green
Off-white
Olive
Onyx
Orange
Orange-Red
Orange-Yellow
Pale yellow
Peacock blue
Periwinkle
Pewter
Pink
Pinkish-red
Platinum
Pumpkin
Purple
Purple-Blue
Purple-Red
Rainbow
Raspberry pink
Red
Red-Blue
Red-Orange
Red-Purple
Red-violet
Red-Yellow
Ruby
Rust
Saffron
Silver-blue
Smoke
Smoky gray
Soft pink
Spearmint
Spruce
Stormy
Taupe gray
Teal
Tropic green
Turquoise
Ultramarine
Velvet black
Verdant green
Vermilion
Violet
Violet-blue
Viridian
Wheat
White
Yellow
Yellow-Blue
Yellow-Green
Yellow-Orange
Yellow-Red
Zaffre
Zinfandel
Zinnia
